buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
BUKIT TIMAH PLAZA,"1 JALAN ANAK BUKIT, SINGAPORE 588996",Commercial Building,Retail,Large,1982,Gold,2016,Existing Building for Non-Residential buildings (version 3),"25,772",93%,100%,N/A,Water Cooled Chilled Water Plant,4,0.68,2016,80%,N,379.96,365.68,365.19,339.12
MERCURE SINGAPORE BUGIS,"122 MIDDLE ROAD, SINGAPORE 188973",Commercial Building,Hotel,Small,2018,Legislated,2016,N/A,"11,899",97%,90%,395,Others,5,0.88,N/A,60%,N,N/A,507.21,487.49,335.69
SCDF HQ 1ST CD DIVISION,"3 QUEENSWAY, SINGAPORE 149073",Commercial Building,Office,Large,2005,N/A,N/A,N/A,"19,040",48%,100%,N/A,Air Cooled Chilled Water Plant,12,N/A,N/A,0%,N,200.59,181.25,184.00,183.93
N/A,"1 MARYMOUNT LANE, SINGAPORE 574029",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"6,342",60%,100%,N/A,Others,9,N/A,N/A,0%,N,56.72,64.10,52.44,49.20
N/A,"50 BUANGKOK DRIVE, SINGAPORE 545064",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"7,574",35%,100%,N/A,Others,16,N/A,N/A,0%,N,53.50,53.61,52.90,53.23
SCDF HQ 2ND CD DIVISION,"1 TAMPINES INDUSTRIAL AVENUE 3, SINGAPORE 528777",Commercial Building,Office,Large,2006,N/A,N/A,N/A,"15,342",71%,100%,N/A,Air Cooled Chilled Water Plant,12,1.44,2018,0%,N,168.78,155.69,168.66,162.63
HQ SINGAPORE CIVIL DEFENCE FORCE,"91 UBI AVENUE 4, SINGAPORE 408827",Commercial Building,Office,Large,2002,N/A,N/A,N/A,"49,327",60%,90%,N/A,Water Cooled Chilled Water Plant,15,2.37,2017,0%,N,187.42,170.92,169.10,151.38
SCDF HQ 4TH CD DIVISION,"80 BUKIT BATOK ROAD, SINGAPORE 658072",Commercial Building,Office,Small,2005,N/A,N/A,N/A,"14,060",55%,100%,N/A,Air Cooled Chilled Water Plant,12,0.74,2018,0%,N,170.43,173.07,178.83,161.46
CIVIL DEFENCE ACADEMY,"101 JALAN BAHAR, SINGAPORE 649734",Commercial Building,Office,Large,1999,N/A,N/A,N/A,"40,312",34%,78%,N/A,Water Cooled Chilled Water Plant,19,2.19,2017,0%,N,121.94,121.19,127.84,100.98
SCDF JALAN BAHAR CAMP,"91 JALAN BAHAR, SINGAPORE 649735",Commercial Building,Office,Large,2005,N/A,N/A,N/A,"34,622",36%,100%,N/A,Others,12,N/A,N/A,0%,N,86.57,88.00,90.66,87.14
SCDF HQ 3RD CD DIVISION,"533 YISHUN INDUSTRIAL PARK A, SINGAPORE 768774",Commercial Building,Office,Small,2006,N/A,N/A,N/A,"14,337",64%,100%,N/A,Air Cooled Chilled Water Plant,12,N/A,N/A,0%,N,192.87,197.65,188.42,195.91
AMK HUB,"53 ANG MO KIO AVENUE 3, SINGAPORE 569933",Commercial Building,Retail,Large,2019,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"47,873",99%,99%,N/A,Water Cooled Chilled Water Plant,2,0.65,2020,100%,N,N/A,N/A,483.66,439.49
ALEXANDRA CENTRAL,"321 ALEXANDRA ROAD, SINGAPORE 159971",Commercial Building,Retail,Small,2014,Legislated,2014,N/A,"8,677",20%,60%,N/A,Water Cooled Chilled Water Plant,3,0.63,2016,0%,N,585.21,582.23,566.79,516.42
KING'S CENTRE,"390 HAVELOCK ROAD, SINGAPORE 169662",Commercial Building,Office,Small,1998,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"10,852",77%,90%,N/A,Water Cooled Chilled Water Plant,4,0.62,2013,28%,Y,218.58,205.45,188.23,167.28
REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Commercial Building,Office,Large,1998,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"102,898",79%,83%,N/A,Water Cooled Chilled Water Plant,5,0.61,2017,13%,N,212.37,182.99,202.81,183.13
CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Commercial Building,Office,Large,1999,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"15,769",90%,93%,N/A,Water Cooled Chilled Water Plant,4,0.65,2017,50%,N,202.75,181.48,168.65,139.97
CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Commercial Building,Retail,Large,2009,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"65,640",62%,97%,N/A,Water Cooled Chilled Water Plant,8,0.65,2018,75%,Y,382.20,365.35,398.49,342.28
CAPRI BY FRASER CHANGI CITY,"3 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486037",Commercial Building,Hotel,Large,2012,GoldPlus,2012,New Building for Non-Residential buildings (version 3),"18,975",86%,87%,313,Water Cooled Chilled Water Plant,7,0.64,2014,99%,N,245.01,245.53,239.91,244.08
OUE DOWNTOWN,"6 SHENTON WAY, SINGAPORE 068809",Commercial Building,Office,Large,1974,Gold,2019,Existing Building for Non-Residential buildings (version 3),"116,055",95%,76%,268,Water Cooled Chilled Water Plant,5,N/A,N/A,65%,N,158.90,180.60,183.08,159.58
JOO CHIAT COMPLEX,"1 JOO CHIAT ROAD, SINGAPORE 420001",Commercial Building,Retail,Large,1982,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"25,347",91%,100%,N/A,Water Cooled Chilled Water Plant,5,0.77,N/A,80%,N,214.43,198.45,210.79,190.25
VISTA POINT,"548 WOODLANDS DRIVE 44, SINGAPORE 730548",Commercial Building,Retail,Small,1999,Gold,2011,Existing Building (version 2),"11,260",43%,100%,N/A,Others,10,N/A,N/A,0%,N,471.38,461.59,446.53,459.87
DEPOT HEIGHTS SHOPPING CENTRE,"108 DEPOT ROAD, SINGAPORE 100108",Commercial Building,Retail,Small,2004,N/A,N/A,N/A,"10,700",37%,100%,N/A,Others,10,N/A,N/A,100%,N,154.54,167.66,164.51,132.86
ONE GEORGE STREET,"1 GEORGE STREET, SINGAPORE 049145",Commercial Building,Office,Large,2004,GoldPlus,2018,Existing Building for Non-Residential buildings (version 2.1),"51,661",81%,98%,N/A,Water Cooled Chilled Water Plant,15,0.72,2019,35%,N,210.16,214.05,214.99,188.57
ASIA SQUARE TOWER 2,"12 MARINA VIEW, SINGAPORE 018961",Commercial Building,Office,Large,2013,Platinum,2017,New Building for Non-Residential buildings (version 3),"99,576",83%,93%,305,District Cooling Plant,12,N/A,N/A,10%,Y,207.36,208.45,205.86,161.14
N/A,"6 BATTERY ROAD, SINGAPORE 049909",Commercial Building,Office,Large,1984,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"66,408",83%,98%,N/A,Water Cooled Chilled Water Plant,6,0.65,2015,5%,N,193.69,182.29,169.08,127.09
HSBC BUILDING,"21 COLLYER QUAY, SINGAPORE 049320",Commercial Building,Office,Large,1982,Platinum,2020,Existing Non-Residental Buildings ENRB: 2017,"25,879",77%,100%,N/A,Water Cooled Chilled Water Plant,12,0.72,2016,10%,N,226.39,208.66,209.29,83.41
CAPITAL TOWER,"168 ROBINSON ROAD, SINGAPORE 068912",Commercial Building,Office,Large,2000,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"95,555",89%,99%,N/A,Water Cooled Chilled Water Plant,3,0.64,2017,25%,N,268.47,257.94,246.10,209.61
SIF BUILDING,"96 ROBINSON ROAD, SINGAPORE 068899",Commercial Building,Office,Small,2007,N/A,N/A,N/A,"7,684",71%,96%,N/A,Others,10,N/A,N/A,0%,N,249.22,245.03,263.75,227.51
SEMBAWANG SHOPPING CENTRE,"604 SEMBAWANG ROAD, SINGAPORE 758459",Commercial Building,Retail,Large,2008,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"19,146",62%,94%,N/A,Water Cooled Chilled Water Plant,9,N/A,N/A,60%,Y,503.72,488.04,446.21,409.10
TOURISM COURT,"1 ORCHARD SPRING LANE, SINGAPORE 247729",Commercial Building,Office,Large,1995,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"17,827",59%,8%,N/A,Water Cooled Chilled Water Plant,7,0.64,2018,35%,N,164.42,151.99,154.58,143.33
N/A,"405 HAVELOCK ROAD, SINGAPORE 169633",Commercial Building,Hotel,Large,1973,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"37,570",72%,93%,615,Others,0,0.6,2018,39%,N,228.31,256.20,253.62,209.13
J8 HOTEL,"8 TOWNSHEND ROAD, SINGAPORE 207606",Commercial Building,Hotel,Small,2013,N/A,N/A,N/A,"2,321",100%,70%,98,Others,7,N/A,N/A,100%,N,198.21,197.72,217.06,203.17
MORI HOSTEL,"429 RACE COURSE ROAD, SINGAPORE 218675",Commercial Building,Hotel,Small,1920,N/A,N/A,N/A,357,53%,70%,10,Others,1,N/A,N/A,95%,N,191.60,212.03,190.32,160.26
WESTWAY,"27 WEST COAST HIGHWAY, SINGAPORE 117867",Commercial Building,Retail,Small,1975,N/A,N/A,N/A,"2,851",100%,40%,N/A,Others,6,N/A,N/A,0%,N,456.74,395.40,314.74,266.40
CIVIL SERVICE COLLEGE,"31 NORTH BUONA VISTA ROAD, SINGAPORE 275983",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"12,709",75%,100%,N/A,Water Cooled Chilled Water Plant,20,1.55,2019,30%,N,183.00,179.57,168.39,122.18
THE URA CENTRE,"45 MAXWELL ROAD, SINGAPORE 069118",Commercial Building,Office,Large,1998,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"53,825",94%,100%,N/A,Water Cooled Chilled Water Plant,3,0.63,2017,20%,Y,152.27,146.28,157.06,138.50
CROSS STREET EXCHANGE,"18 CROSS STREET, SINGAPORE 048423",Commercial Building,Office,Omit,2001,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"60,922",78%,82%,N/A,Water Cooled Chilled Water Plant,1,0.65,2019,23%,N,174.73,147.78,187.16,202.56
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Commercial Building,Office,Large,2014,Platinum,2014,New Building for Non-Residential buildings (version 4.1),"40,880",86%,99%,N/A,District Cooling Plant,6,N/A,N/A,0%,Y,472.58,526.96,516.40,492.73
N/A,"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",Commercial Building,Office,Large,1988,N/A,N/A,N/A,"23,278",95%,91%,N/A,Water Cooled Chilled Water Plant,16,N/A,N/A,5%,N,264.35,245.43,250.78,210.76
N/A,"1 KAY SIANG ROAD, SINGAPORE 248922",Commercial Building,Office,Large,1960,N/A,N/A,N/A,"15,091",63%,79%,N/A,Others,14,N/A,N/A,10%,N,123.89,97.80,98.11,83.39
PARKWAY PARADE,"80 MARINE PARADE ROAD, SINGAPORE 449269",Commercial Building,Office,Large,1983,Platinum,2019,Existing Building for Non-Residential buildings (version 2.1),"99,012",79%,100%,N/A,Water Cooled Chilled Water Plant,7,0.7,2019,60%,N,325.58,329.95,326.11,249.48
THE CAPITOL KEMPINSKI HOTEL SINGAPORE,"15 STAMFORD ROAD, SINGAPORE 178906",Commercial Building,Hotel,Small,2015,N/A,N/A,N/A,"12,621",97%,60%,157,Water Cooled Chilled Water Plant,5,N/A,N/A,95%,N,397.83,425.33,565.82,509.62
THE KINGSMEN EXPERIENCE,"22 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE486032",Commercial Building,Office,Small,2018,N/A,N/A,N/A,"14,293",72%,80%,N/A,Others,1,N/A,N/A,88%,N,N/A,45.05,107.74,85.55
TWENTY ANSON,"20 ANSON ROAD, SINGAPORE 079912",Commercial Building,Office,Large,2009,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"23,418",92%,93%,N/A,Water Cooled Chilled Water Plant,10,0.65,2016,0%,N,205.30,200.78,209.33,189.65
RIVERSIDE POINT,"30 MERCHANT ROAD, SINGAPORE 058282",Commercial Building,Mixed Development,Small,1996,N/A,N/A,N/A,"13,128",68%,75%,N/A,Water Cooled Chilled Water Plant,23,1.1,2018,10%,N,409.58,414.20,367.00,270.23
PLUS,"20 CECIL STREET, SINGAPORE 049705",Commercial Building,Office,Large,2018,N/A,N/A,N/A,"32,383",90%,30%,N/A,Others,2,N/A,N/A,90%,N,N/A,65.55,89.30,74.72
N/A,"26 BEACH ROAD, SINGAPORE 189768",Commercial Building,Mixed Development,Omit,2013,Platinum,2012,New Building for Non-Residential buildings (version 3),"70,961",82%,80%,N/A,District Cooling Plant,5,0.65,N/A,40%,N,264.36,264.24,265.05,344.39
TAMAN JURONG SHOPPING CENTRE,"399 YUNG SHENG ROAD, SINGAPORE 610399",Commercial Building,Retail,Small,1996,Gold,2013,Existing Building for Non-Residential buildings (version 2.1),"11,820",66%,95%,N/A,Others,7,N/A,N/A,70%,N,402.43,403.54,401.99,381.70
SENTOSA DEVELOPMENT CORPORATION OFFICE,"39 ARTILLERY AVENUE, SINGAPORE 099958",Commercial Building,Office,Small,2014,Gold,2017,Existing Building for Non-Residential buildings (version 3),"5,345",71%,100%,N/A,Others,4,0.87,N/A,90%,N,206.82,205.53,221.65,208.59
ERA APAC CENTRE,"450 LORONG 6 TOA PAYOH, SINGAPORE 319394",Commercial Building,Office,Large,1978,N/A,N/A,N/A,"417,496",1%,95%,N/A,Others,7,N/A,N/A,0%,N,3.97,3.77,1.87,2.34
CAUSEWAY POINT,"1 WOODLANDS SQUARE, SINGAPORE 738099",Commercial Building,Retail,Large,1999,Platinum,2020,Existing Building for Non-Residential buildings (version 2.1),"58,450",92%,99%,N/A,Water Cooled Chilled Water Plant,8,0.68,2017,0%,N,465.62,466.21,481.35,442.79
GREAT EASTERN @ CHANGI,"200 CHANGI ROAD, SINGAPORE 419734",Commercial Building,Office,Large,2005,N/A,N/A,N/A,"24,707",71%,100%,N/A,Air Cooled Chilled Water Plant,12,1.58,2015,0%,N,109.08,103.02,77.44,68.57
GREAT EASTERN HOUSE,"49 BEACH ROAD, SINGAPORE 189685",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"2,295",81%,100%,N/A,Others,2,N/A,N/A,0%,N,313.59,309.93,278.59,220.19
N/A,"150 CECIL STREET, SINGAPORE 069543",Commercial Building,Office,Small,1995,N/A,N/A,N/A,"10,943",68%,80%,N/A,Water Cooled Chilled Water Plant,27,N/A,N/A,0%,N,135.41,136.36,137.39,129.97
WEST MALL,"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Commercial Building,Retail,Large,1998,Gold,2019,Existing Building for Non-Residential buildings (version 3),"24,182",87%,100%,N/A,Water Cooled Chilled Water Plant,8,0.65,2013,75%,N,471.94,483.43,476.87,426.19
ROYAL ONE PHILLIP,"1 PHILLIP STREET, SINGAPORE 048692",Commercial Building,Office,Small,1992,N/A,N/A,N/A,"5,000",70%,98%,N/A,Water Cooled Chilled Water Plant,4,N/A,N/A,10%,N,118.33,130.14,146.52,151.12
ROYAL GROUP BUILDING,"3 PHILLIP STREET, SINGAPORE 048693",Commercial Building,Office,Small,1996,N/A,N/A,N/A,"10,580",95%,98%,N/A,Others,4,N/A,N/A,20%,N,205.08,200.71,198.73,173.09
BANGKOK BANK BUILDING,"180 CECIL STREET, SINGAPORE 069546",Commercial Building,Office,Large,1978,N/A,N/A,N/A,"15,590",83%,70%,N/A,Water Cooled Chilled Water Plant,32,N/A,N/A,0%,N,121.11,113.87,116.66,107.02
ORCHARD GATEWAY @ EMERALD,"218 ORCHARD ROAD, SINGAPORE 238851",Commercial Building,Retail,Small,2014,Gold,2010,New Building for Non-Residential buildings (version 3),"9,333",90%,91%,N/A,Air Cooled Chilled Water Plant,7,1.03,N/A,63%,N,302.62,321.94,305.63,274.90
223 @ MOUNTBATTEN,"223 MOUNTBATTEN ROAD, SINGAPORE 398008",Commercial Building,Office,Small,2013,N/A,N/A,N/A,"11,735",73%,77%,N/A,Others,0,N/A,N/A,100%,N,89.87,94.71,99.41,66.83
N/A,"991G ALEXANDRA ROAD, SINGAPORE 119975",Commercial Building,Office,Small,2009,N/A,N/A,N/A,"5,274",89%,100%,N/A,Others,10,N/A,N/A,5%,N,174.22,170.57,183.83,131.89
KEPPEL BAY TOWER,"1 HARBOURFRONT AVENUE, SINGAPORE 098632",Commercial Building,Office,Large,2002,Platinum,2018,Existing Non-Residental Buildings ENRB: 2017,"41,840",92%,95%,N/A,Water Cooled Chilled Water Plant,4,0.62,2018,30%,N,164.86,146.09,149.40,125.40
OUR TAMPINES HUB,"1 TAMPINES WALK, SINGAPORE 528523",Commercial Building,Office,Large,2016,Platinum,2016,New Building for Non-Residential buildings (version 4.1),"120,268",35%,100%,N/A,Water Cooled Chilled Water Plant,4,0.58,2019,40%,Y,186.24,198.59,217.52,215.47
N/A,"71 CHAI CHEE STREET, SINGAPORE 468981",Commercial Building,Office,Large,2017,GoldPlus,2017,Existing Building for Non-Residential buildings (version 3),"21,678",63%,100%,N/A,Others,2,0.7,2018,100%,N,115.35,105.89,116.19,103.67
JUNCTION 10,"1 WOODLANDS ROAD, SINGAPORE 677899",Commercial Building,Retail,Small,2011,N/A,N/A,N/A,"10,967",73%,89%,N/A,Others,9,N/A,N/A,45%,N,481.82,399.57,476.55,458.86
MYVILLAGE AT SERANGOON GARDEN,"1 MAJU AVENUE, SINGAPORE 556679",Commercial Building,Retail,Small,2010,N/A,N/A,N/A,"5,312",46%,90%,N/A,Others,8,0.85,N/A,0%,N,706.64,755.73,765.01,735.41
WILKIE EDGE,"8 WILKIE ROAD, SINGAPORE 228095",Commercial Building,Office,Large,2008,N/A,N/A,N/A,"29,812",66%,99%,154,Water Cooled Chilled Water Plant,12,0.87,2015,15%,N,261.58,269.05,274.81,217.80
ARC 380,"380 JALAN BESAR, SINGAPORE 209000",Commercial Building,Office,Small,2018,N/A,N/A,N/A,"11,658",100%,100%,N/A,Water Cooled Chilled Water Plant,1,0.17,2019,100%,N,N/A,74.00,156.81,141.97
VILLAGE HOTEL ALBERT COURT,"180 ALBERT STREET, SINGAPORE 189971",Commercial Building,Hotel,Small,1993,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"11,426",77%,85%,210,Water Cooled Chilled Water Plant,6,0.67,2016,0%,N,217.03,212.24,218.63,179.93
LUCKY CHINATOWN,"211 NEW BRIDGE ROAD, SINGAPORE 059432",Commercial Building,Retail,Small,1992,Gold,2019,Existing Building for Non-Residential buildings (version 3),"5,907",80%,80%,N/A,Water Cooled Chilled Water Plant,22,N/A,N/A,0%,N,369.86,294.44,307.36,215.03
VILLAGE HOTEL CHANGI,"1 NETHERAVON ROAD, SINGAPORE 508502",Commercial Building,Hotel,Large,2004,N/A,N/A,N/A,"22,826",100%,82%,380,Water Cooled Chilled Water Plant,12,0.88,2020,35%,N,225.99,226.05,221.72,175.53
VILLAGE HOTEL KATONG,"25 MARINE PARADE, SINGAPORE 449536",Commercial Building,Hotel,Large,2013,Legislated,2013,N/A,"22,540",95%,83%,229,Water Cooled Chilled Water Plant,3,0.65,2018,90%,N,207.37,211.30,209.10,199.28
N/A,"92 TELOK AYER STREET, SINGAPORE 048472",Commercial Building,Retail,Large,1998,N/A,N/A,N/A,"18,396",93%,85%,37,Water Cooled Chilled Water Plant,1,N/A,N/A,40%,N,450.97,449.44,413.31,571.17
ICA BUILDING,"10 KALLANG ROAD, SINGAPORE 208718",Commercial Building,Office,Large,1997,N/A,N/A,N/A,"37,819",100%,100%,N/A,Water Cooled Chilled Water Plant,4,N/A,N/A,17%,N,329.55,337.58,340.17,343.40
MARITIME HOUSE,"120 CANTONMENT ROAD, SINGAPORE 089760",Commercial Building,Office,Small,1973,N/A,N/A,N/A,"7,428",49%,78%,46,Others,8,N/A,N/A,2%,Y,121.33,119.60,122.41,95.91
HDB CENTRE OF BUILDING RESEARCH,"10 WOODLANDS AVENUE 8, SINGAPORE 738973",Commercial Building,Office,Large,2000,Platinum,2014,Existing Building for Non-Residential buildings (version 3),"20,613",14%,80%,N/A,Others,7,N/A,N/A,70%,Y,38.85,37.85,39.80,53.60
TELOK BLANGAH HOUSE,"52 TELOK BLANGAH ROAD, SINGAPORE 098829",Commercial Building,Retail,Small,1985,N/A,N/A,N/A,"5,555",58%,100%,N/A,Water Cooled Packaged Unit,1,N/A,N/A,100%,N,82.04,86.09,83.31,79.08
N/A,"230 STADIUM BOULEVARD, SINGAPORE 397799",Commercial Building,Retail,Small,2018,N/A,N/A,N/A,"5,300",94%,100%,N/A,Others,2,N/A,N/A,100%,Y,N/A,3.52,292.21,244.26
WATERWAY POINT,"83 PUNGGOL CENTRAL, SINGAPORE 828761",Commercial Building,Retail,Large,2015,GoldPlus,2015,New Building for Non-Residential buildings (version 4.1),"50,399",9%,99%,N/A,Water Cooled Chilled Water Plant,4,0.65,2016,85%,N,548.83,561.38,562.15,529.90
NATIONAL COMMUNITY LEADERSHIP INSTITUTE,"70 SOUTH BUONA VISTA ROAD, SINGAPORE 118176",Commercial Building,Office,Small,1964,N/A,N/A,N/A,"6,827",82%,50%,N/A,Others,1,N/A,N/A,30%,N,N/A,N/A,6.87,80.88
CUSTOMS OPERATIONS COMMAND,"1 BULIM DRIVE, SINGAPORE 648171",Commercial Building,Office,Large,2019,Platinum,2019,New Building for Non-Residential buildings (version 4.1),"21,595",56%,80%,N/A,Water Cooled Chilled Water Plant,1,0.65,N/A,100%,N,N/A,N/A,85.19,89.91
BUKIT PANJANG PLAZA,"1 JELEBU ROAD, SINGAPORE 677743",Commercial Building,Retail,Large,1997,GoldPlus,2020,Existing Building for Non-Residential buildings (version 3),"22,998",99%,100%,N/A,Water Cooled Chilled Water Plant,3,0.7,2018,94%,N,591.59,587.15,586.85,546.18
CROWNE PLAZA CHANGI AIRPORT,"75 AIRPORT BOULEVARD, SINGAPORE 819664",Commercial Building,Hotel,Large,2008,Certified,2008,New Building for A/C buildings (version 2),"41,099",100%,90%,563,Water Cooled Chilled Water Plant,11,0.71,2017,50%,N,220.64,222.60,220.64,197.67
ALEXANDRA POINT,"438 ALEXANDRA ROAD, SINGAPORE 119958",Commercial Building,Office,Large,1995,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"24,895",80%,100%,N/A,Water Cooled Chilled Water Plant,6,0.6,2018,100%,N,123.66,123.88,128.65,106.45
GOLDHILL PLAZA,"1 GOLDHILL PLAZA, SINGAPORE 308899",Commercial Building,Mixed Development,Small,1970,N/A,N/A,N/A,"7,900",86%,98%,N/A,Others,6,N/A,N/A,0%,N,433.93,400.75,399.45,336.91
JURONG POINT,"1 JURONG WEST CENTRAL 2, SINGAPORE 648886",Commercial Building,Retail,Large,2002,Platinum,2020,Existing Non-Residental Buildings ENRB: 2017,"51,095",90%,97%,N/A,Water Cooled Chilled Water Plant,6,0.63,2020,45%,N,519.83,512.28,501.13,439.37
INTERCONTINENTAL SINGAPORE ROBERTSON QUAY,"1 NANSON ROAD, SINGAPORE 238909",Commercial Building,Hotel,Small,2017,Legislated,2018,N/A,"14,284",100%,80%,225,Water Cooled Chilled Water Plant,1,0.65,N/A,70%,N,138.10,390.90,397.65,377.76
N/A,"108 ROBINSON ROAD, SINGAPORE 068900",Commercial Building,Office,Small,1980,N/A,N/A,N/A,"5,976",74%,100%,N/A,Others,10,N/A,N/A,50%,N,151.49,161.85,173.76,122.18
ISTANA,"ORCHARD ROAD, SINGAPORE 238823",Commercial Building,Office,Large,1959,N/A,N/A,N/A,"22,975",44%,100%,N/A,Water Cooled Chilled Water Plant,3,0.65,N/A,7%,N,155.74,148.23,150.29,138.01
HOLIDAY INN SINGAPORE ORCHARD CITY CENTRE,"11 CAVENAGH ROAD, SINGAPORE 229616",Commercial Building,Hotel,Large,1985,Gold,2020,Existing Building for Non-Residential buildings (version 3),"5,809",100%,92%,324,District Cooling Plant,N/A,0.75,N/A,60%,N,258.83,262.74,222.00,822.63
METRO-Y STEVENS,"60 STEVENS ROAD, SINGAPORE 257854",Commercial Building,Hotel,Small,1980,N/A,N/A,N/A,"8,211",95%,86%,98,Water Cooled Chilled Water Plant,4,N/A,N/A,94%,N,147.65,163.50,160.98,140.64
ROBINSON CENTRE,"61 ROBINSON ROAD, SINGAPORE 068893",Commercial Building,Office,Large,2000,N/A,N/A,N/A,"15,740",81%,75%,N/A,Water Cooled Chilled Water Plant,16,N/A,N/A,0%,N,220.29,215.80,221.96,196.20
K SPACE INN 569,"569 SERANGOON ROAD, SINGAPORE 218184",Commercial Building,Hotel,Small,2020,N/A,N/A,N/A,317,78%,100%,7,Others,5,N/A,N/A,0%,N,N/A,N/A,N/A,124.61
N/A,"28 STEVENS ROAD, SINGAPORE 257878",Commercial Building,Hotel,Large,2017,N/A,N/A,N/A,"29,553",90%,80%,772,Water Cooled Chilled Water Plant,3,0.69,2020,60%,N,71.99,292.88,285.27,215.39
LENG KEE COMMUNITY CENTRE,"400 LENGKOK BAHRU, SINGAPORE 159049",Commercial Building,Office,Small,2017,N/A,N/A,N/A,"5,594",100%,80%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,50%,N,48.32,60.91,77.77,64.55
VALLEY POINT,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Commercial Building,Office,Large,1998,Gold,2020,Existing Non-Residental Buildings ENRB: 2017,"26,417",98%,80%,N/A,Others,2,0.92,2015,100%,N,456.11,423.66,423.68,384.92
SWISSOTEL MERCHANT COURT SINGAPORE,"20 MERCHANT ROAD, SINGAPORE 058281",Commercial Building,Hotel,Large,1997,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"38,054",100%,90%,476,Water Cooled Chilled Water Plant,5,0.62,2017,70%,N,208.27,210.22,205.15,159.57
CHANGI CITY POINT,"5 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486038",Commercial Building,Retail,Large,2011,GoldPlus,2020,New Building for Non-Residential buildings (version 3),"28,463",83%,96%,N/A,Others,0,0.65,2011,15%,N,459.36,487.25,507.82,408.60
WOODLANDS CIVIC CENTRE,"900 SOUTH WOODLANDS DRIVE, SINGAPORE 730900",Commercial Building,Office,Large,1999,Platinum,2015,Existing Building for Non-Residential buildings (version 3),"38,325",79%,100%,N/A,Water Cooled Chilled Water Plant,5,0.6,N/A,55%,Y,241.67,225.00,199.71,212.22
STUDIO M HOTEL,"3 NANSON ROAD, SINGAPORE 238910",Commercial Building,Hotel,Small,2010,Gold,2018,Existing Building for Non-Residential buildings (version 3),"8,259",94%,82%,360,Others,8,0.98,2018,80%,N,433.76,429.02,466.70,357.94
N/A,"10 ARTILLERY AVENUE, SINGAPORE 099951",Commercial Building,Hotel,Small,2020,N/A,N/A,NA,"35,642",70%,53%,839,Water Cooled Chilled Water Plant,1,0.47,2020,85%,N,N/A,N/A,N/A,202.07
THE HEART,"5 STRAITS VIEW, SINGAPORE 018935",Commercial Building,Office,Large,2017,Platinum,2020,New Building for Non-Residential buildings (version 4),"245,054",80%,70%,N/A,District Cooling Plant,11,0.5,2020,20%,N,43.25,103.95,123.96,105.46
N/A,"31 HENG MUI KENG TERRACE, SINGAPORE 119595",Commercial Building,Office,Small,2002,N/A,N/A,N/A,"1,791",60%,50%,N/A,Others,15,N/A,N/A,5%,N,107.92,112.29,109.03,74.10
MINISTRY OF FOREIGN AFFAIRS BUILDING,"1 SHERWOOD ROAD, SINGAPORE 248163",Commercial Building,Office,Large,2003,Gold,2020,Existing Non-Residental Buildings ENRB: 2017,"35,533",75%,45%,N/A,Water Cooled Chilled Water Plant,2,0.59,2016,85%,N,219.82,222.81,234.24,204.29
